real_name,column_height,diffusion_coef,ellipse_major_axis,ellipse_minor_axis,tgsd_mean,tgsd_sigma,total_erupted_mass,wind_direction,wind_speed
45,45000,7755.12,1797.87,1797.87,-0.223324,1,5.4563e+10,213.007,0.694375
46,45000,4704.01,7768.25,7768.25,-0.389292,1,2e+11,264.485,2.34876
47,43213.8,5072.91,2604.64,2604.64,-2.19674,1,8.13556e+10,243.143,6.65648
48,18900.7,5813.77,8333.67,8333.67,-1.11001,1,6.68781e+10,244.122,0.822637
49,15338.5,2150.1,3490.76,3490.76,1.44162,1,1.27248e+11,195.45,0.71273
50,28604.6,7031.12,11263,11263,-2.08247,1,2.08407e+10,211.654,20
51,19592.3,8000,18114.3,18114.3,0.985171,1,9.16239e+10,197.656,10.6294
52,17352.8,2125.07,14807.4,14807.4,-3.52421,1,1.39809e+11,245.898,20
53,15587.7,6251.03,2141.12,2141.12,2.65097,1,8.16621e+10,255.65,15.4015
54,22592.2,4100.25,9032.22,9032.22,-3.14399,1,7.03246e+10,213.714,7.08706
55,28148.7,5812.46,11858.2,11858.2,-1.75545,1,3.40775e+10,197.874,0.531461
56,25416.9,4093.75,7536.07,7536.07,-4.34348,1,3.30017e+10,227.467,1.71856
57,34261.3,3163.57,8106.11,8106.11,-1.94179,1,1.08873e+11,185.837,9.01163
58,19295,8000,15330.7,15330.7,-0.797436,1,3.32202e+10,227.989,6.07397
59,19094.2,3475.8,1000,1000,-5.70064,1,6.03261e+10,183.646,2.042
60,8910.18,3219.81,14278.8,14278.8,-5.22929,1,1.32904e+11,223.981,4.0453
61,14315.6,8000,12767.6,12767.6,-3.55738,1,3.95957e+10,199.423,4.31773
62,32125,5031.77,1000,1000,3.8855,1,2e+11,249.739,0.633598
63,17209.9,7127.82,8991.35,8991.35,-1.07073,1,2e+11,213.766,14.1769
64,14088.7,2304.01,4849.31,4849.31,-6,1,6.28662e+10,267.86,0.829969
65,12952,3342.89,17896.3,17896.3,0.365388,1,1.49141e+11,222.53,11.1849
66,11997.1,3414.67,8676.07,8676.07,2.23145,1,1.5173e+10,206.276,20
67,36944.7,6415.81,18616.6,18616.6,-2.90423,1,1.46204e+11,236.259,1.21277
68,19033,7585.36,13813.2,13813.2,-3.57883,1,1.22406e+11,267.444,6.3122
69,18438.9,3385.92,16333.1,16333.1,1.41327,1,1.92384e+11,266.257,5.58756
70,34259.8,8000,7672.31,7672.31,1.35581,1,1.70525e+11,180,3.79457
71,21268.7,8000,8113.9,8113.9,-3.28434,1,1.47318e+11,257.641,0.560983
72,24463.2,4313.92,13904.5,13904.5,-6,1,5.68566e+10,232.98,2.32069
73,40874.7,4910.93,14756.4,14756.4,-4.37018,1,4.96738e+10,209.546,20
74,19421.8,7320.81,13766.6,13766.6,-4.48167,1,8.39044e+10,187.814,20
75,45000,8000,13382.5,13382.5,-0.710916,1,2e+11,227.692,20
76,14944.4,5437.33,6046.67,6046.67,-0.043207,1,1.31252e+11,216.442,18.7976
77,35912.4,4956.94,6790.88,6790.88,-3.93192,1,1.03109e+11,200.202,2.07919
78,39561.4,6202.88,14663.1,14663.1,-1.86473,1,5.86898e+10,214.496,9.39353
79,45000,6730.82,19062.2,19062.2,-6,1,1.06123e+11,189.681,4.19215
80,17941.6,3244.19,10331.3,10331.3,1.3478,1,1.7941e+11,180,1.89899
81,45000,4165.89,11524.3,11524.3,-3.98015,1,5.33592e+10,249.157,7.88961
82,17995.1,4583.42,20844.8,20844.8,1.79463,1,3.64071e+10,209.074,2.13722
83,8992.49,7361.29,16738.4,16738.4,-2.87714,1,2.17831e+10,258.956,1.03105
84,23045.9,6196.72,5998.07,5998.07,4.40439,1,3.21437e+10,212.688,6.13287
85,15277.2,5150.56,18752.7,18752.7,-3.19166,1,1.02981e+11,203.925,3.31219
86,18560.8,5346.74,13342.7,13342.7,-2.12652,1,9.56899e+10,214.842,2.25482
87,17315.9,4904.45,25000,25000,-0.728255,1,1.81831e+11,246.507,11.4435
88,40902,7079.53,17841.2,17841.2,-2.2764,1,1.00564e+11,210.746,7.53957
89,45000,5276.7,3659.93,3659.93,-1.30628,1,7.56314e+10,208.172,1.26498
90,32000.1,8000,10769.1,10769.1,-3.16097,1,3.38827e+10,241.176,5.67756
91,27213.1,4471.36,20551.4,20551.4,0.735923,1,9.16553e+10,253.31,0.677741
92,24919.3,3429.31,19237.2,19237.2,3.00095,1,9.62209e+10,190.472,2.9887
93,21147.9,5487.29,13021,13021,-0.967572,1,4.12694e+10,222.026,7.2483
94,21740.2,8000,15113.4,15113.4,-3.45855,1,1.34061e+11,236.28,0.891309
95,20672.9,7175.17,3096.78,3096.78,0.12079,1,1.78193e+11,214.981,0.944969
96,45000,4698.79,15993.3,15993.3,1.29334,1,1.70102e+11,270,3.62897
97,41272.6,3018.91,12073.3,12073.3,-0.917017,1,6.73567e+10,250.913,6.45996
98,40440.6,6116.44,12860.9,12860.9,-2.42178,1,2e+11,230.95,19.9519
99,30211.9,3943.19,7649.93,7649.93,-0.19623,1,6.6615e+10,243.45,0.636546
100,17882.6,2933.1,12178.8,12178.8,-1.80002,1,1.84877e+11,190.891,1.08774
101,30602.1,4449.06,21723.6,21723.6,-4.82587,1,8.4222e+10,270,0.580775
102,8443.77,2494.2,1000,1000,-4.34193,1,8.14274e+10,180,3.7913
103,26560.5,5307.74,2160.12,2160.12,-1.86334,1,1.18685e+11,208.118,0.817372
104,7013.23,8000,12740.9,12740.9,-1.16652,1,1.93778e+11,222.014,20
105,22647.9,8000,21457,21457,-1.11297,1,2e+11,240.069,2.46175
106,19678.4,4596.99,15414,15414,5.60335,1,7.69275e+10,200.269,1.54124
107,45000,5899.21,10798.3,10798.3,-2.71323,1,1.48696e+11,224.26,18.2096
108,45000,4606.03,2591.54,2591.54,-0.688217,1,6.11336e+10,230.964,10.0796
109,23629.7,2922.96,7914.74,7914.74,2.36103,1,9.09577e+10,233.786,10.1302
110,35901.9,5654.21,1000,1000,-6,1,7.08406e+10,196.212,18.3338
111,17263.6,6181.73,4830.69,4830.69,-1.82351,1,1.34536e+11,204.747,6.05346
112,6751.85,5178.71,1000,1000,-4.0942,1,5.80548e+10,194.549,17.3826
113,21399.6,8000,1000,1000,1.60972,1,1.40618e+11,195.687,10.0076
114,38239.7,4823.7,7781.05,7781.05,-2.29683,1,2e+11,253.915,3.63897
115,30408.7,5119.59,13215.1,13215.1,-1.1657,1,4.40981e+10,228.847,0.825086
116,24014,6424.03,12634,12634,0.164154,1,7.47219e+10,191.775,2.65011
117,8156.81,5517.49,11212.5,11212.5,-2.09279,1,1.02044e+11,230.029,6.35508
118,21114.3,6521.25,5831.94,5831.94,-0.150265,1,6.80289e+10,254.951,1.7026
119,20448.2,4494.45,14791.3,14791.3,-5.25775,1,2e+11,213.757,3.09717
120,23814.7,5369.4,1189.71,1189.71,-1.36306,1,2e+11,183.883,8.57671
121,16097.3,5407.65,7518.32,7518.32,-0.917868,1,1.62239e+11,182.083,6.82075
122,36563.8,5128.85,14658.5,14658.5,-0.121475,1,1.01476e+11,222.716,7.26792
123,38560.8,5480.98,1000,1000,-3.74826,1,2e+11,242.67,1.69279
124,22355.2,4016.48,10461.8,10461.8,1.57231,1,7.23727e+10,217.735,20
125,44687.2,6477.01,8413.83,8413.83,-3.41359,1,5.4604e+10,227.759,11.7825
126,13617.3,8000,21780.6,21780.6,1.00781,1,7.51573e+10,187.004,0.620917
127,19483.9,7148.48,11788.2,11788.2,-1.45414,1,9.26378e+10,207.968,7.00114
128,42109.5,8000,20000.2,20000.2,-0.538901,1,2.41762e+10,225.659,9.60589
129,14248.2,2618.99,7433.31,7433.31,-6,1,1.41829e+11,222.854,1.00288
130,29096.1,4482.06,15394.8,15394.8,-3.79505,1,1.12093e+11,213.667,2.89027
131,36658.1,3794.23,18096.7,18096.7,-3.91914,1,6.99054e+10,227.261,20
132,45000,2649.96,17504.7,17504.7,-5.53774,1,2e+11,220.446,3.03543
133,22340,4355.11,13392.6,13392.6,-3.50543,1,1.20891e+11,209.797,1.66563
134,20882.3,3999.5,3216.33,3216.33,-1.19209,1,7.49205e+10,251.693,1.25247
135,20766.1,3563.74,10808.6,10808.6,0.872795,1,1.17967e+11,264.272,12.8358
136,26663.9,5789.6,11110.7,11110.7,-3.67287,1,7.22169e+10,248.061,4.58903
137,21666.1,7158.61,17528.1,17528.1,-2.67571,1,2e+11,205.24,1.82884
138,37259.3,5099.84,11500.2,11500.2,-3.53802,1,2e+11,252.383,20
139,25099.9,6470.79,9922.66,9922.66,-5.05359,1,5.01761e+10,264.866,20
140,45000,4471.44,25000,25000,-5.95619,1,9.45297e+10,262.836,20
141,26087.9,4530.54,6586.17,6586.17,1.27536,1,3.31392e+10,219.117,20
142,45000,2846.58,8587.09,8587.09,-6,1,6.43462e+10,220.763,3.65984
143,28422.6,4418.25,16479.3,16479.3,-3.42644,1,6.26689e+10,208.65,14.145
144,27538.2,5508.23,18303.3,18303.3,1.48755,1,7.49542e+10,231.641,0.899822
145,15103.1,5243.05,14878.8,14878.8,-1.45025,1,1.6e+11,193.813,2.68106
146,35471.2,3382.23,9471.89,9471.89,-0.752254,1,2e+11,208.196,10.5566
147,22838.7,3989.07,9415.05,9415.05,-1.32978,1,3.43771e+10,228.499,20
148,20338.7,3025.01,7860.48,7860.48,1.32214,1,1.82622e+11,266.194,0.316511
149,25255.2,6299.29,1000,1000,-4.62929,1,2e+11,250.47,2.39837
150,15382.5,7736.36,6666.06,6666.06,0.691487,1,1.4678e+11,183.174,6.90828
151,23728.5,6020.16,1000,1000,-1.44487,1,2e+11,203.236,0.526119
152,19220.9,3512.36,25000,25000,-6,1,1.40938e+11,193.192,12.721
153,8392.14,6557.86,15884.5,15884.5,-0.311117,1,2e+11,212.106,20
154,31813.6,4185.66,16908.6,16908.6,3.37134,1,6.29718e+10,253.536,2.858
155,26312.5,4791.97,10559.6,10559.6,-1.39715,1,1.93525e+11,245.46,20
156,25142.2,6247.52,15030.2,15030.2,-1.09731,1,1.00998e+11,200.773,9.75258
157,42415.3,2507.96,7659.53,7659.53,2.30395,1,2e+11,263.886,0.469105
158,7336.13,2116.09,14820.1,14820.1,1.35121,1,5.71021e+10,218.107,3.36991
159,34478.9,3590.38,1000,1000,-5.69146,1,6.6313e+10,261.436,19.7798
160,45000,7109.44,13058.8,13058.8,-0.619773,1,1.77619e+11,235.042,0.451757
161,17941.3,3980.53,1000,1000,-1.11201,1,1.46159e+11,218.032,3.66645
162,45000,2876.29,10711.8,10711.8,-3.35914,1,8.31448e+10,249.681,0.404712
163,45000,3441.07,13624,13624,-4.39788,1,1.82805e+10,188.786,19.7004
164,8950.11,8000,16368.4,16368.4,-2.50823,1,4.13955e+10,216.486,20
165,25689.7,5150.51,10674.4,10674.4,1.58728,1,1.98854e+11,180,0.148385
166,22987.8,5306.13,16791.7,16791.7,-1.09078,1,1.49274e+11,255.493,11.967
167,27168.3,4104.56,7205.07,7205.07,-1.77212,1,2e+11,262.239,2.40465
168,14284.1,4156.41,7414.01,7414.01,-1.06202,1,5.40605e+10,234.1,20
169,13216.9,4546.22,1000,1000,-2.76743,1,1.13013e+11,210.958,20
170,27041.4,8000,7429.95,7429.95,-4.20673,1,1.09265e+11,230.452,1.36019
171,21805.9,6137.66,9237.4,9237.4,-2.12018,1,1.05538e+11,238.625,13.9265
172,13971.1,3536.47,25000,25000,1.61324,1,6.78851e+10,201.824,20
173,45000,5446.8,16447.5,16447.5,0.690481,1,2e+11,225.273,19.5567
174,28762.3,3030.59,10219.1,10219.1,-4.23959,1,5.62744e+10,199.749,7.62167
175,24380.3,8000,4798.88,4798.88,-1.83342,1,2.86613e+10,207.214,2.1669
176,14374.1,3269.76,17935.9,17935.9,-2.73044,1,2.28892e+10,220.849,2.03311
177,40854.9,6432.7,13279.8,13279.8,1.17588,1,2.18699e+10,227.332,20
178,39082.1,4903.03,11453.5,11453.5,-1.87945,1,1.00273e+11,232.248,8.30573
179,45000,4979.46,19886.1,19886.1,0.745754,1,2e+11,251.702,5.80721
180,29122.9,8000,2193.14,2193.14,-0.610769,1,4.28694e+10,186.916,0.947713
181,40119.2,8000,11881.8,11881.8,-6,1,4.4317e+10,232.331,0.301966
182,17937.5,4869.57,16605.3,16605.3,-2.00431,1,1.07565e+11,190.207,10.0842
183,17351,2499.96,9377.65,9377.65,2.73963,1,4.63605e+10,224.369,20
184,41663.9,5237.83,10773.5,10773.5,-3.17816,1,1.40295e+11,200.495,3.34387
185,25779.9,3390.14,7530.87,7530.87,1.19333,1,1.48167e+11,199.264,1.8686
186,13917.9,7333.71,7632.23,7632.23,-2.26451,1,3.84256e+10,254.867,0.122029
187,9909.32,5175.98,8037.89,8037.89,-3.69454,1,1.03286e+11,196.513,0.614798
188,42296.1,5058.5,1000,1000,-1.28955,1,6.36527e+10,219.05,3.70201
189,16175.5,4685.07,18332.6,18332.6,-1.35732,1,1.15525e+11,197.989,4.70025
190,17882.3,2727.03,16137.3,16137.3,-2.66215,1,9.38269e+10,234.226,11.1005
191,39070.6,4621.64,10311.7,10311.7,-6,1,1.01424e+11,224.671,1.54578
192,15065.5,7421.27,13267,13267,-6,1,1.44279e+11,212.85,1.56965
193,45000,3722.36,15530.9,15530.9,-3.22475,1,1.61399e+11,190.861,20
194,30171.5,3629.88,7834.84,7834.84,-0.978834,1,2.01568e+10,206.549,3.54214
195,39491,4980.12,13290.6,13290.6,-5.80272,1,2e+11,203.078,15.361
196,18838.9,5741.41,8502.39,8502.39,-2.79154,1,1.1912e+11,197.687,5.21981
197,27193,7185.59,12475.8,12475.8,1.51411,1,3.49745e+10,247.179,14.5834
198,8263.92,3746.37,20037.8,20037.8,-4.10849,1,9.05504e+10,218.795,1.33118
199,45000,8000,1000,1000,-4.08568,1,9.90737e+10,185.375,20
200,45000,3989.82,14175.9,14175.9,0.708862,1,2.51051e+10,210.857,2.83768
201,14428,7625.45,1000,1000,2.01534,1,2e+11,195.744,1.90729
202,30648.9,4423.03,3567.67,3567.67,-0.490574,1,2.17529e+10,234.747,19.298
203,43158.9,4975.32,10891,10891,-3.0203,1,8.16038e+10,231.749,0.344801
204,45000,5263.84,4492.19,4492.19,3.60172,1,1.03319e+11,269.67,0.925476
205,9216.1,6142.52,9773.54,9773.54,-3.34981,1,8.88783e+10,227.224,18.9194
206,26925.4,7002.01,14983,14983,-1.13749,1,2e+11,180,2.55236
207,33210.5,3742.72,9913.87,9913.87,0.753339,1,1.08723e+11,201.381,0.243116
208,31668.6,6638.35,10742,10742,-0.789603,1,2e+11,221.161,14.5125
209,26202.9,4605.63,19320.2,19320.2,-2.71268,1,2e+11,236.725,15.4482
210,21977.2,3127.74,4551.01,4551.01,-0.750013,1,1.43047e+11,240.335,15.8244
211,14269.1,3426.59,14541.8,14541.8,-2.01279,1,2e+11,213.633,0.248257
212,26236.4,7823.09,6684.17,6684.17,-6,1,1.41518e+11,270,0.382702
213,14633.5,5653.61,8156.76,8156.76,-2.79368,1,8.34179e+10,236.178,3.28504
214,45000,7832.73,7117.68,7117.68,-1.60454,1,6.1719e+10,209.552,2.17543
215,10835.5,2149.37,11949.8,11949.8,-5.36585,1,4.36262e+10,227.074,20
216,17879.9,6036.57,8633.29,8633.29,-4.86979,1,2e+11,236.992,12.6685
217,42752.6,5150.59,7311.97,7311.97,-2.47272,1,1.11742e+11,207.944,2.32752
218,21142.8,3673.52,22217.5,22217.5,2.8692,1,2e+11,229.633,1.46994
219,42186.4,3556.13,8421.76,8421.76,-5.86548,1,5.63066e+10,229.449,3.99518
220,27465.9,3005.54,9952.61,9952.61,-4.43176,1,2e+11,216.793,0.894403
221,45000,3146.7,11144.4,11144.4,-1.51344,1,2e+11,251.007,1.60865
222,24156.3,8000,6832.33,6832.33,-1.32666,1,2e+11,216.239,13.9355
223,21701.7,3733.94,7874.55,7874.55,-4.13395,1,2e+11,213.142,5.15785
224,21733.7,5619.35,8325.15,8325.15,-2.87472,1,1.40154e+11,219.877,1.44005
225,29845.6,5910.71,16989.3,16989.3,-1.52817,1,4.57519e+10,269.306,20
226,45000,3006.74,15186.3,15186.3,-3.49237,1,2e+11,196.991,0.440154
227,10375.3,4295.17,17543.2,17543.2,2.27755,1,4.85222e+10,210.662,20
228,12330,4662.12,14191.6,14191.6,1.13179,1,9.62503e+10,210.494,4.60076
229,12995.3,5662.18,14366.1,14366.1,-2.99778,1,7.09934e+10,230.546,6.10966
230,38586.3,6148.25,14387.3,14387.3,3.01563,1,6.47736e+10,229.944,20
231,27418.5,5532.25,2025.27,2025.27,3.43933,1,7.75527e+10,236.536,3.90228
232,45000,6490.06,15366.6,15366.6,-4.80569,1,1.3974e+11,206.177,14.9077
233,45000,3358.34,15251.1,15251.1,2.50768,1,6.34295e+10,251.84,4.33835
234,40182.3,4930.11,5543.21,5543.21,-2.21983,1,5.40175e+10,223.266,3.73479
235,30441.5,8000,3956.54,3956.54,-4.40212,1,7.6005e+10,242.657,2.9543
236,25639.4,4106.86,15957.5,15957.5,-1.2115,1,6.95139e+10,205.315,7.01021
237,35680.1,4140.7,13345.8,13345.8,0.0501001,1,6.95891e+10,203.556,1.69964
238,19351.5,2420.58,7822.88,7822.88,-4.64206,1,2e+11,189.399,3.41074
239,16797.5,3430.85,13267,13267,-3.03915,1,1.34742e+11,270,20
240,22901.7,5363.54,11095.6,11095.6,1.39405,1,2e+11,224.03,18.4002
241,24423.3,7233.17,13090.1,13090.1,0.765166,1,6.52911e+10,202.974,2.72722
242,45000,4822.59,1000,1000,-5.30141,1,4.76532e+10,206.08,0.867068
243,24531.3,7027.33,9287.35,9287.35,-3.08222,1,1.04132e+11,243.062,14.5212
244,45000,4133.38,9289.23,9289.23,-0.835905,1,1.93049e+11,217.255,20
245,29657.4,6813.32,2196.28,2196.28,0.254333,1,7.83957e+10,250.291,3.0983
246,45000,6310.79,11912.1,11912.1,-4.21098,1,4.59691e+10,236.125,6.40067
247,32139.4,6646.33,5245.45,5245.45,-3.53386,1,5.59256e+10,223.745,20
248,32230.6,6331.66,12710.9,12710.9,-5.90617,1,1.51723e+11,231.103,0.883987
249,32481.6,3340.08,6498.37,6498.37,-6,1,1.40312e+11,211.076,2.66732
250,45000,5400.79,1830.4,1830.4,2.26415,1,4.469e+10,242.284,1.35616
251,18904.3,3258.9,8546.6,8546.6,-2.42473,1,2e+11,242.787,1.18301
252,19846.8,5218.85,18754,18754,-1.00163,1,4.41751e+10,241.34,1.4232
253,16612.6,5466.88,12001.4,12001.4,-3.5508,1,2e+11,209.793,20
254,45000,8000,13842.2,13842.2,-3.6248,1,2e+11,234.502,8.33274
255,16665.1,4479.42,19532.8,19532.8,2.92793,1,1.24255e+11,227.59,0.784888
256,22872.9,3823.44,14609,14609,-0.0945229,1,1.44073e+11,202.591,7.65171
257,29696.4,5227.77,13386.1,13386.1,2.933,1,5.26952e+10,231.157,5.71237
258,45000,4565.35,12321.5,12321.5,0.130662,1,1.58442e+10,180,13.5344
259,25569.3,2923.21,6794.23,6794.23,0.326951,1,1.13942e+11,213.136,1.92277
260,19854.4,6597.99,15177.2,15177.2,0.774104,1,4.92869e+10,233.26,0.182196
261,15010.4,6824.71,8765.36,8765.36,-0.112302,1,4.70275e+10,223.81,0.820252
262,30589.1,6410.12,12781.2,12781.2,-1.15711,1,2e+11,252.653,3.25339
263,25201.9,3506.79,9180.13,9180.13,-2.08481,1,1.00644e+11,221.882,5.88179
264,45000,6576.44,3745.55,3745.55,0.630028,1,8.57685e+10,200.683,20
265,45000,3863.4,4152.72,4152.72,-1.73937,1,7.22446e+10,190.501,3.10056
266,28826.8,5778.94,12735,12735,-4.38529,1,1.26681e+11,202.099,4.86046
267,22986,4414.02,14337.1,14337.1,0.256028,1,4.34538e+10,235.592,1.2122
268,38615.1,3646.76,6592.07,6592.07,1.2801,1,1.53042e+11,206.366,0.579344
269,23101.8,4898.22,6950.67,6950.67,-6,1,4.26774e+10,197.209,17.5003
270,18881.4,3622.78,14350.8,14350.8,-5.3306,1,2e+11,200.245,1.71899
271,45000,4646.18,12818.4,12818.4,2.28261,1,1.75238e+11,188.399,1.62263
272,18827,8000,8273.6,8273.6,-6,1,1.85187e+11,210.457,4.89896
273,37840.3,4486.75,18420.9,18420.9,-0.588043,1,5.73725e+10,223.123,20
274,25952.9,4702.97,8573.29,8573.29,-1.11796,1,6.39439e+10,223.878,0.1
275,12704.8,6043.89,14230.3,14230.3,-1.78792,1,8.35506e+10,180,2.02571
276,17557.9,7128.91,1000,1000,-1.41344,1,2e+11,209.859,1.95162
277,13118.6,4877.8,9067.85,9067.85,-1.17433,1,6.56878e+10,201.059,20
278,6493.47,2449.01,13084.7,13084.7,2.47228,1,1.96437e+11,249.271,7.1284
279,29180.9,8000,10495.9,10495.9,4.39585,1,1.91882e+11,239.455,2.20813
280,25591.8,4892.32,12855.2,12855.2,-2.58507,1,7.56022e+10,238.73,4.38766
281,20357.6,8000,8447.47,8447.47,-4.21901,1,4.85472e+10,182.363,0.505506
282,19511.2,3680.8,23533.5,23533.5,-4.90632,1,6.6539e+10,208.157,9.76884
283,37792.5,3627.41,2947.05,2947.05,-1.33271,1,7.80993e+10,202.331,14.9883
284,45000,4036.55,6717.98,6717.98,-2.33155,1,2e+11,253.125,2.24856
285,16021.8,8000,16618.2,16618.2,-5.19543,1,5.09541e+10,181.448,10.6983
286,8646.35,5534.63,15738.1,15738.1,0.551904,1,1.54325e+11,226.166,2.50399
287,32214.3,7507.11,11087.4,11087.4,-2.7627,1,3.44415e+10,251.368,1.67025
288,15340.1,4682.95,11691.4,11691.4,-0.768243,1,8.90793e+10,236.514,5.30621
289,26954.3,4055.64,8352.65,8352.65,-1.90509,1,7.75157e+10,189.26,0.962498
290,34579.7,3640.06,1000,1000,-3.24814,1,2e+11,257.518,5.39767
291,43853.9,4684.55,9522.31,9522.31,-2.28935,1,2e+11,270,15.7228
292,37692.3,3568.42,15515.4,15515.4,-3.14578,1,3.80585e+10,223.708,14.3854
293,9174.25,6937.94,19439,19439,2.7247,1,6.26143e+10,213.892,0.882314
294,10508.7,4813.88,13194.4,13194.4,-2.63269,1,1.16893e+11,205.409,4.61615
295,34399.5,2019.69,7066.15,7066.15,-3.51095,1,7.69696e+10,236.615,1.12237
296,12381.1,5981.47,6535.23,6535.23,-5.1832,1,1.90615e+11,246.237,10.7166
297,45000,5011.64,9641.22,9641.22,-6,1,3.62811e+10,191.43,4.56116
298,45000,6790.65,5288.58,5288.58,-5.67116,1,1.66705e+11,197.759,0.784214
299,22405.6,5099.98,7407.93,7407.93,0.857896,1,1.35785e+11,225.633,2.18994
300,18717,7160.34,1000,1000,-1.89009,1,4.36566e+10,237.529,3.1997
301,15347.5,3257.47,9938.59,9938.59,1.77673,1,7.10045e+10,222.083,7.03507
302,19254.9,8000,9189.02,9189.02,3.12107,1,9.05096e+10,210.193,20
303,45000,5036.81,11281.8,11281.8,0.0328626,1,5.38666e+10,232.175,12.1295
304,26684.5,7080.94,5353.04,5353.04,-4.2238,1,4.18286e+10,236.352,1.89165
305,45000,5099.54,1285.42,1285.42,1.22226,1,2.73172e+10,222.957,2.16953
306,22574.9,6992.68,25000,25000,-0.738695,1,7.10926e+10,223.63,5.67696
307,27071.8,5547.51,16107.9,16107.9,-1.71418,1,6.97538e+10,243.473,20
308,37081.3,8000,4388.8,4388.8,-2.90434,1,1.74279e+11,184.041,6.20079
309,23949.2,3385.7,8750.25,8750.25,0.49433,1,8.60769e+10,252.155,2.60598
310,18244.2,6118.31,11370.9,11370.9,-1.46329,1,1.28343e+11,237.356,5.66356
311,45000,7072.51,13123.3,13123.3,-3.30549,1,2e+11,240.884,4.26951
